text,label
belajar python dasar video ini mengajarkan dasar python dengan mudah dan menyenangkan,positive
tutorial excel penjelasan jelas dan mudah dipahami sangat membantu pemula,positive
vlog liburan bali pemandangan indah pengalaman menyenangkan dan seru,positive
mukbang ramen video lucu dan menghibur saya sangat menikmatinya,positive
edukasi biologi penjelasan mudah dimengerti menyenangkan dan informatif,positive
panduan react video lengkap dan mudah dipahami membuat belajar react jadi menyenangkan,positive
tutorial javascript materi lengkap mudah diikuti cocok untuk pemula,positive
panduan machine learning penjelasan mudah dipahami dan menyenangkan,positive
belajar sql materi jelas dan sangat membantu proses belajar,positive
video matematika video sangat bermanfaat dan mudah dipahami,positive
vlog kota yogyakarta suasana menyenangkan seru dan informatif,positive
mukbang pizza konten menghibur dan membuat senang menonton,positive
tutorial css video mudah dimengerti sangat membantu pemula,positive
belajar java dasar penjelasan jelas dan menyenangkan cocok untuk belajar,positive
edukasi fisika video mudah diikuti materi jelas dan menyenangkan,positive
panduan git video bermanfaat sangat membantu memahami version control,positive
belajar bahasa inggris materi mudah dipahami dan menyenangkan,positive
vlog kuliner bandung menyenangkan menghibur dan sangat menarik,positive
tutorial photoshop penjelasan mudah konten menarik dan membantu,positive
video kesehatan materi informatif dan mudah dimengerti menyenangkan,positive
belajar python lanjutan video mengajarkan konsep lanjutan dengan cara mudah dimengerti,positive
mukbang sushi sangat menyenangkan dan lucu membuat senang menonton,positive
vlog travel lombok konten menyenangkan dan informatif pengalaman seru,positive
tutorial word materi jelas dan sangat membantu pemula,positive
panduan statistik video mudah dimengerti konten menarik dan bermanfaat,positive
video sejarah materi jelas dan mudah dipahami pengalaman belajar menyenangkan,positive
belajar ekonomi penjelasan mudah dipahami dan bermanfaat untuk pemula,positive
mukbang burger seru lucu dan sangat menghibur,positive
vlog alam konten menyenangkan pengalaman menarik sangat seru,positive
tutorial bahasa jepang video jelas dan mudah dimengerti bermanfaat,positive
edukasi kimia materi mudah diikuti dan menyenangkan untuk belajar,positive
belajar data science penjelasan menyenangkan dan mudah dimengerti,positive
video musik konten menyenangkan dan menghibur sangat cocok untuk santai,positive
vlog kuliner jakarta video seru dan lucu sangat menghibur,positive
mukbang nasi padang menyenangkan dan membuat senang menonton,positive
tutorial figma materi jelas mudah diikuti cocok untuk pemula,positive
belajar css lanjutan video jelas dan menyenangkan sangat membantu belajar,positive
panduan react hooks video membantu memahami konsep dengan cara mudah,positive
